compound_id,scenario,metric,value
471,v2_CLint,rel_log2,-1.8644
488,v2_CLint,rel_log2,0.8275
637,v2_CLint,rel_log2,0.2968
674,v2_CLint,rel_log2,-0.4236
703,v2_CLint,rel_log2,0.5246
739,v2_CLint,rel_log2,-0.0017
781,v2_CLint,rel_log2,-2.2762
787,v2_CLint,rel_log2,-1.8359
800,v2_CLint,rel_log2,0.8217
811,v2_CLint,rel_log2,-0.2731
832,v2_CLint,rel_log2,0.2694
875,v2_CLint,rel_log2,-0.2192
907,v2_CLint,rel_log2,-1.5370
938,v2_CLint,rel_log2,0.1850
963,v2_CLint,rel_log2,0.9467
967,v2_CLint,rel_log2,0.1016
973,v2_CLint,rel_log2,0.2797
1001,v2_CLint,rel_log2,0.3703
1009,v2_CLint,rel_log2,1.3121
1018,v2_CLint,rel_log2,-0.1898
1041,v2_CLint,rel_log2,-0.1558
1094,v2_CLint,rel_log2,-3.1149
1095,v2_CLint,rel_log2,2.2091
1197,v2_CLint,rel_log2,2.0422
1245,v2_CLint,rel_log2,0.4857
1293,v2_CLint,rel_log2,-1.4452
1300,v2_CLint,rel_log2,1.1184
1319,v2_CLint,rel_log2,0.3642
1323,v2_CLint,rel_log2,-0.2417
1341,v2_CLint,rel_log2,0.7530
52,h1_run3,rel_log2,-3.1162
172,h1_run3,rel_log2,0.0788
177,h1_run3,rel_log2,-0.9752
184,h1_run3,rel_log2,0.2471
295,h1_run3,rel_log2,-0.3710
308,h1_run3,rel_log2,0.2155
323,h1_run3,rel_log2,-0.0867
332,h1_run3,rel_log2,-1.1027
366,h1_run3,rel_log2,0.9841
394,h1_run3,rel_log2,0.5673
413,h1_run3,rel_log2,-4.2932
471,h1_run3,rel_log2,-0.8690
488,h1_run3,rel_log2,0.0045
637,h1_run3,rel_log2,0.0448
674,h1_run3,rel_log2,0.6747
703,h1_run3,rel_log2,-0.3136
739,h1_run3,rel_log2,-0.8436
781,h1_run3,rel_log2,0.0000
787,h1_run3,rel_log2,-3.6646
800,h1_run3,rel_log2,0.7043
811,h1_run3,rel_log2,-1.6023
832,h1_run3,rel_log2,0.3590
875,h1_run3,rel_log2,-2.1981
907,h1_run3,rel_log2,-0.2663
938,h1_run3,rel_log2,0.3156
963,h1_run3,rel_log2,-4.2631
967,h1_run3,rel_log2,1.1705
973,h1_run3,rel_log2,0.3272
1001,h1_run3,rel_log2,0.8001
1009,h1_run3,rel_log2,-2.0836
1018,h1_run3,rel_log2,-0.0142
1041,h1_run3,rel_log2,-0.0933
1094,h1_run3,rel_log2,0.4901
1095,h1_run3,rel_log2,-16.3192
1197,h1_run3,rel_log2,-1.7000
1245,h1_run3,rel_log2,0.6411
1293,h1_run3,rel_log2,-0.7172
1300,h1_run3,rel_log2,0.6000
1319,h1_run3,rel_log2,0.1422
1323,h1_run3,rel_log2,0.5211
1341,h1_run3,rel_log2,-0.2720
52,h1_run2,rel_log2,-2.9572
172,h1_run2,rel_log2,0.1655
177,h1_run2,rel_log2,-0.9302
184,h1_run2,rel_log2,0.2472
295,h1_run2,rel_log2,-0.4016
308,h1_run2,rel_log2,0.1852
323,h1_run2,rel_log2,0.6290
332,h1_run2,rel_log2,-1.1085
366,h1_run2,rel_log2,1.0544
394,h1_run2,rel_log2,0.5605
413,h1_run2,rel_log2,-4.3075
471,h1_run2,rel_log2,-0.8927
488,h1_run2,rel_log2,-0.0759
637,h1_run2,rel_log2,-0.0030
674,h1_run2,rel_log2,0.6735
703,h1_run2,rel_log2,-0.3382
739,h1_run2,rel_log2,-0.7196
781,h1_run2,rel_log2,0.2760
787,h1_run2,rel_log2,-3.4727
800,h1_run2,rel_log2,0.8215
811,h1_run2,rel_log2,-1.4849
832,h1_run2,rel_log2,0.3637
875,h1_run2,rel_log2,-2.1210
907,h1_run2,rel_log2,-0.2492
938,h1_run2,rel_log2,0.1489
963,h1_run2,rel_log2,-3.8386
967,h1_run2,rel_log2,1.1966
973,h1_run2,rel_log2,0.3807
1001,h1_run2,rel_log2,0.8385
1009,h1_run2,rel_log2,-2.0647
1018,h1_run2,rel_log2,-0.0425
1041,h1_run2,rel_log2,-0.0948
1094,h1_run2,rel_log2,0.4901
1095,h1_run2,rel_log2,-16.2974
1197,h1_run2,rel_log2,-1.3405
1245,h1_run2,rel_log2,0.6411
1293,h1_run2,rel_log2,-0.7202
1300,h1_run2,rel_log2,0.5838
1319,h1_run2,rel_log2,0.1541
1323,h1_run2,rel_log2,0.5210
1341,h1_run2,rel_log2,-0.2689
52,s1_run2,rel_log2,-0.0327
172,s1_run2,rel_log2,0.0699
177,s1_run2,rel_log2,-0.0255
184,s1_run2,rel_log2,0.4557
295,s1_run2,rel_log2,0.1965
308,s1_run2,rel_log2,0.0897
323,s1_run2,rel_log2,1.3530
332,s1_run2,rel_log2,-0.0841
366,s1_run2,rel_log2,0.5676
394,s1_run2,rel_log2,0.6811
413,s1_run2,rel_log2,1.8542
471,s1_run2,rel_log2,-0.4378
488,s1_run2,rel_log2,1.0375
637,s1_run2,rel_log2,0.3406
674,s1_run2,rel_log2,0.6557
703,s1_run2,rel_log2,0.9634
739,s1_run2,rel_log2,0.1664
781,s1_run2,rel_log2,0.1926
787,s1_run2,rel_log2,-1.7804
800,s1_run2,rel_log2,0.6025
811,s1_run2,rel_log2,0.3706
832,s1_run2,rel_log2,0.1478
875,s1_run2,rel_log2,0.3520
907,s1_run2,rel_log2,-0.0922
938,s1_run2,rel_log2,0.3967
963,s1_run2,rel_log2,0.1299
967,s1_run2,rel_log2,0.4929
973,s1_run2,rel_log2,0.2951
1001,s1_run2,rel_log2,0.8851
1009,s1_run2,rel_log2,0.1101
1018,s1_run2,rel_log2,-0.3947
1041,s1_run2,rel_log2,-0.0377
1094,s1_run2,rel_log2,-0.1249
1095,s1_run2,rel_log2,-4.0199
1197,s1_run2,rel_log2,0.0877
1245,s1_run2,rel_log2,0.2857
1293,s1_run2,rel_log2,-2.2316
1300,s1_run2,rel_log2,0.8299
1319,s1_run2,rel_log2,-0.0275
1323,s1_run2,rel_log2,-0.3458
1341,s1_run2,rel_log2,-0.1843
52,v4_ML,abs_log2,0.8641
172,v4_ML,abs_log2,0.8263
177,v4_ML,abs_log2,1.2691
184,v4_ML,abs_log2,0.4572
