compound_id,rel_log2_A,abs_log2_A,fe_cmax_rel_A,fe_cmax_abs_A,fe_auc_rel_A,fe_auc_abs_A,delta_tmax_A,time_within_2fold_A,cmax_within_2fold_A,auc_within_2fold_A,time_within_3fold_A,cmax_within_3fold_A,auc_within_3fold_A,time_within_5fold_A,cmax_within_5fold_A,auc_within_5fold_A,time_within_10fold_A,cmax_within_10fold_A,auc_within_10fold_A,scenario_A,rel_log2_B,abs_log2_B,fe_cmax_rel_B,fe_cmax_abs_B,fe_auc_rel_B,fe_auc_abs_B,delta_tmax_B,time_within_2fold_B,cmax_within_2fold_B,auc_within_2fold_B,time_within_3fold_B,cmax_within_3fold_B,auc_within_3fold_B,time_within_5fold_B,cmax_within_5fold_B,auc_within_5fold_B,time_within_10fold_B,cmax_within_10fold_B,auc_within_10fold_B,scenario_B,good_auc_A,good_auc_B,good_cmax_A,good_cmax_B,good_A,good_B,delta_abs_log2_B_minus_A,delta_auc_abs_B_minus_A,delta_cmax_abs_B_minus_A,class
811,0.1414,0.1990,-0.1187,0.1187,0.0960,0.0960,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,0.4639,0.7601,-0.7212,0.7212,0.4876,0.4876,0.0000,0.7692,1.0000,1.0000,0.9231,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,True,True,True,True,True,0.5610,0.3916,0.6025,Both acceptable
832,0.3575,1.5500,-0.1341,0.1341,-0.3824,0.3824,-0.0947,0.7333,1.0000,1.0000,0.8667,1.0000,1.0000,0.9333,1.0000,1.0000,0.9333,1.0000,1.0000,v0_baseline_simcyp,0.4421,1.3000,-1.5252,1.5252,-0.2822,0.2822,-0.0947,0.7333,0.0000,1.0000,0.9333,1.0000,1.0000,0.9333,1.0000,1.0000,0.9333,1.0000,1.0000,v1_control_minimal,True,True,True,False,True,False,-0.2500,-0.1002,1.3911,Prefer v0_baseline_simcyp
875,0.2997,0.3248,0.8470,0.8470,0.3792,0.3792,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,0.4141,0.4141,0.0710,0.0710,0.4424,0.4424,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,True,True,True,True,True,0.0893,0.0632,-0.7760,Both acceptable
907,-0.8520,0.8839,-1.0339,1.0339,-0.9705,0.9705,0.0000,0.6400,0.0000,1.0000,0.9600,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,-0.1140,0.3761,-0.2412,0.2412,-0.2536,0.2536,0.0000,0.9600,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,True,False,True,False,True,-0.5077,-0.7170,-0.7928,Prefer v1_control_minimal
938,0.5418,0.7838,-1.2360,1.2360,0.8054,0.8054,0.3077,0.7895,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,0.0125,0.4890,-1.5816,1.5816,0.1333,0.1333,0.3077,0.9474,0.0000,1.0000,0.9474,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,True,False,False,False,False,-0.2949,-0.6721,0.3456,Refinement
963,0.7355,0.8215,-0.3436,0.3436,0.7274,0.7274,0.0000,0.7500,1.0000,1.0000,0.8750,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,0.2044,0.2618,-0.2295,0.2295,0.2226,0.2226,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,True,True,True,True,True,-0.5596,-0.5048,-0.1141,Both acceptable
967,0.1016,0.1766,-0.3088,0.3088,0.2180,0.2180,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,0.2546,0.2771,-0.1237,0.1237,0.3456,0.3456,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,True,True,True,True,True,0.1005,0.1275,-0.1851,Both acceptable
973,0.1884,0.2289,-0.2838,0.2838,0.2323,0.2323,0.0000,0.9333,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,0.5266,0.5378,-0.0847,0.0847,0.5499,0.5499,0.0000,0.9333,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,True,True,True,True,True,0.3090,0.3176,-0.1991,Both acceptable
1001,0.5906,0.5906,0.5039,0.5039,0.6260,0.6260,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,1.1526,1.1526,0.8706,0.8706,1.3381,1.3381,0.6094,0.1667,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,False,True,True,True,False,0.5621,0.7122,0.3667,Prefer v0_baseline_simcyp
1009,-0.7061,0.8425,-0.7020,0.7020,-0.1089,0.1089,0.0000,0.7500,1.0000,1.0000,0.7500,1.0000,1.0000,0.8750,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,0.4319,0.6078,-0.7033,0.7033,0.4443,0.4443,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,True,True,True,True,True,-0.2348,0.3354,0.0014,Both acceptable
1018,0.2662,0.2662,0.1524,0.1524,0.2831,0.2831,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,0.0192,0.0653,-0.0712,0.0712,0.0361,0.0361,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,True,True,True,True,True,-0.2009,-0.2470,-0.0812,Both acceptable
1041,-0.1833,0.2586,0.2254,0.2254,-0.1394,0.1394,0.1258,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,-0.1022,0.4502,-0.2070,0.2070,-0.0180,0.0180,0.1258,0.8889,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,True,True,True,True,True,0.1916,-0.1214,-0.0184,Both acceptable
1094,0.0100,0.5892,0.6306,0.6306,-0.0408,0.0408,-0.5825,0.7778,1.0000,1.0000,0.7778,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,0.4105,0.4105,0.2557,0.2557,0.3114,0.3114,-0.5825,0.8889,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,True,True,True,True,True,-0.1787,0.2705,-0.3749,Both acceptable
1095,-0.3094,0.6284,0.1689,0.1689,0.0938,0.0938,0.6469,0.7632,1.0000,1.0000,0.8684,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,0.5726,1.2260,-0.0799,0.0799,0.4278,0.4278,1.0782,0.3421,1.0000,1.0000,0.7632,1.0000,1.0000,0.9474,1.0000,1.0000,0.9737,1.0000,1.0000,v1_control_minimal,True,True,True,True,True,True,0.5976,0.3340,-0.0891,Both acceptable
1197,-0.1776,0.3467,-0.5866,0.5866,-0.2746,0.2746,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,0.3514,0.9039,-1.4910,1.4910,0.2235,0.2235,0.0000,0.5455,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,True,True,False,True,False,0.5572,-0.0511,0.9044,Prefer v0_baseline_simcyp
1245,0.5895,0.7407,-0.3104,0.3104,0.4362,0.4362,0.4982,0.7143,1.0000,1.0000,0.8571,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,0.6121,0.7987,-0.4450,0.4450,0.4935,0.4935,0.4982,0.6429,1.0000,1.0000,0.8571,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,True,True,True,True,True,0.0580,0.0572,0.1346,Both acceptable
1293,-1.5181,1.5181,-2.4630,2.4630,-1.5186,1.5186,0.0000,0.1667,0.0000,0.0000,0.6667,0.0000,1.0000,0.9167,0.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,-1.8106,1.8106,-3.4261,3.4261,-1.7201,1.7201,0.0000,0.2500,0.0000,0.0000,0.4167,0.0000,0.0000,0.6667,0.0000,1.0000,0.9167,0.0000,1.0000,v1_control_minimal,False,False,False,False,False,False,0.2925,0.2015,0.9631,Refinement
1300,0.5966,0.6373,0.7410,0.7410,0.6429,0.6429,0.0000,0.7667,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,0.9787,0.9940,-0.2284,0.2284,1.0547,1.0547,0.0000,0.6000,1.0000,0.0000,0.7667,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,False,True,True,True,False,0.3567,0.4118,-0.5127,Prefer v0_baseline_simcyp
1319,-0.0967,0.2730,0.0776,0.0776,-0.0088,0.0088,0.4973,0.9375,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,-0.0313,0.8583,-0.7459,0.7459,0.1790,0.1790,0.7460,0.6250,1.0000,1.0000,0.8750,1.0000,1.0000,0.9375,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,True,True,True,True,True,0.5853,0.1702,0.6683,Both acceptable
1323,0.4646,0.7434,-0.8602,0.8602,0.2595,0.2595,0.0000,0.8125,1.0000,1.0000,0.8750,1.0000,1.0000,0.8750,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,0.4868,0.8037,-0.9974,0.9974,0.2942,0.2942,0.0000,0.7500,1.0000,1.0000,0.8750,1.0000,1.0000,0.8750,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,True,True,True,True,True,0.0602,0.0347,0.1372,Both acceptable
1341,0.4211,0.4942,0.3772,0.3772,0.5195,0.5195,-0.0697,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,0.2406,0.4379,-0.2535,0.2535,0.1966,0.1966,-0.0697,0.9412,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,True,True,True,True,True,-0.0563,-0.3229,-0.1237,Both acceptable
