compound_id,scenario,metric,value
875,v4_ML,fe_cmax_rel,-1.0402
907,v4_ML,fe_cmax_rel,-0.5804
938,v4_ML,fe_cmax_rel,0.9093
963,v4_ML,fe_cmax_rel,-0.0885
967,v4_ML,fe_cmax_rel,-0.9626
973,v4_ML,fe_cmax_rel,-1.1046
1001,v4_ML,fe_cmax_rel,-0.6812
1009,v4_ML,fe_cmax_rel,-0.6697
1018,v4_ML,fe_cmax_rel,-0.7844
1041,v4_ML,fe_cmax_rel,0.1210
1094,v4_ML,fe_cmax_rel,-2.4524
1095,v4_ML,fe_cmax_rel,1.7178
1197,v4_ML,fe_cmax_rel,-1.4107
1245,v4_ML,fe_cmax_rel,-2.3783
1293,v4_ML,fe_cmax_rel,-4.5962
1300,v4_ML,fe_cmax_rel,0.0599
1319,v4_ML,fe_cmax_rel,0.1735
1323,v4_ML,fe_cmax_rel,-3.2539
1341,v4_ML,fe_cmax_rel,0.8484
52,v1_control_minimal,fe_cmax_rel,-0.0785
172,v1_control_minimal,fe_cmax_rel,-0.0069
177,v1_control_minimal,fe_cmax_rel,-3.1052
184,v1_control_minimal,fe_cmax_rel,0.3873
295,v1_control_minimal,fe_cmax_rel,-0.1900
308,v1_control_minimal,fe_cmax_rel,-1.1141
323,v1_control_minimal,fe_cmax_rel,-1.3441
332,v1_control_minimal,fe_cmax_rel,-0.9003
366,v1_control_minimal,fe_cmax_rel,-0.3966
394,v1_control_minimal,fe_cmax_rel,-2.0408
413,v1_control_minimal,fe_cmax_rel,-2.0190
471,v1_control_minimal,fe_cmax_rel,-0.4949
488,v1_control_minimal,fe_cmax_rel,-0.6655
637,v1_control_minimal,fe_cmax_rel,-0.3054
674,v1_control_minimal,fe_cmax_rel,-1.4625
703,v1_control_minimal,fe_cmax_rel,0.4957
739,v1_control_minimal,fe_cmax_rel,-1.0822
781,v1_control_minimal,fe_cmax_rel,-0.2523
787,v1_control_minimal,fe_cmax_rel,-1.1161
800,v1_control_minimal,fe_cmax_rel,0.0672
811,v1_control_minimal,fe_cmax_rel,-0.7212
832,v1_control_minimal,fe_cmax_rel,-1.5252
875,v1_control_minimal,fe_cmax_rel,0.0710
907,v1_control_minimal,fe_cmax_rel,-0.2412
938,v1_control_minimal,fe_cmax_rel,-1.5816
963,v1_control_minimal,fe_cmax_rel,-0.2295
