PUBCHEM_CID,SMILES,lgCL,lgVD,lgFu,CL_train_test,VD_train_test,Fu_train_test
2157,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,-0.943095149,1.77815125,-1.397940009,train,train,train
2159,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,-0.463080998,0.38789807,-0.075720714,train,train,train
2160,CN(C)CCC=C1c2ccccc2CCc2ccccc21,-0.436518915,0.939519253,-1.200659451,train,train,train
2162,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,-0.37675071,1.230448921,-1.420216403,train,train,train
2164,CCC1(CCC(C)C)C(=NC(=O)N=C1O)O,,,-0.346787486,,,train
2165,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,1.114610984,1.240549248,-1.0,test,test,test
2170,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,,,-0.98029294,,,train
2177,CC(C)CN(CC(O)C(CC1=CC=CC=C1)NC(=O)OC1COCC1)S(=O)(=O)C1=CC=C(N)C=C1,,,-1.0,,,train
2179,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,-0.588380294,0.204119983,-1.572676214,test,test,test
2187,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,,,-0.251811973,,,train
2193,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2=O,,,-0.758545929,,,train
2196,COC1C=CC(=CC=1)C(=O)N1CCCC1=O,,,-0.468521083,,,train
2200,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,0.07195561,0.591064607,,train,train,
2206,Cc1cc(=O)n(-c2ccccc2)n1C,-1.415668776,-0.113509275,-0.045757491,train,train,train
2215,CN1CCC2=CC=CC3C4=C(CC1C2=3)C=CC(O)=C4O,,,-1.007961484,,,train
2218,CCN(CCCN(C1CC2=CC=CC=C2C1)C1C=CC=CC=1)CC,,,-1.301029987,,,train
2226,NC1CCC(CN)OC1OC1C(O)C(OC2OC(CO)C(O)C(N)C2O)C(CC1N)NC(=O)C(O)CCN,,,-0.036212168,,,train
2244,CC(=O)Oc1ccccc1C(=O)O,-0.142667504,-0.657577319,-0.522878745,train,train,train
